trial,nrows,nbins,filter,sketch_size,time (ns)
4,10000,10,filter2,4,618600.00
0,10000,10,filter2,8,725200.00
1,10000,10,filter2,8,677100.00
2,10000,10,filter2,8,639300.00
3,10000,10,filter2,8,612000.00
4,10000,10,filter2,8,651900.00
0,10000,10,filter3,1,533200.00
1,10000,10,filter3,1,436600.00
2,10000,10,filter3,1,428300.00
3,10000,10,filter3,1,497400.00
4,10000,10,filter3,1,491500.00
0,10000,10,filter3,2,519200.00
1,10000,10,filter3,2,520800.00
2,10000,10,filter3,2,594200.00
3,10000,10,filter3,2,563000.00
4,10000,10,filter3,2,530600.00
0,10000,10,filter3,4,536900.00
1,10000,10,filter3,4,539700.00
2,10000,10,filter3,4,538300.00
3,10000,10,filter3,4,523400.00
4,10000,10,filter3,4,525200.00
0,10000,10,filter3,8,615000.00
1,10000,10,filter3,8,637600.00
2,10000,10,filter3,8,647700.00
3,10000,10,filter3,8,1044500.00
4,10000,10,filter3,8,751000.00
0,10000,100,filter1,1,413800.00
1,10000,100,filter1,1,398800.00
2,10000,100,filter1,1,414000.00
3,10000,100,filter1,1,414400.00
4,10000,100,filter1,1,388300.00
0,10000,100,filter1,2,439800.00
1,10000,100,filter1,2,615300.00
2,10000,100,filter1,2,449200.00
3,10000,100,filter1,2,476600.00
4,10000,100,filter1,2,423400.00
0,10000,100,filter1,4,488500.00
1,10000,100,filter1,4,472200.00
2,10000,100,filter1,4,470000.00
3,10000,100,filter1,4,490300.00
4,10000,100,filter1,4,455500.00
0,10000,100,filter1,8,482000.00
1,10000,100,filter1,8,490200.00
2,10000,100,filter1,8,474700.00
3,10000,100,filter1,8,512300.00
4,10000,100,filter1,8,661500.00
0,10000,100,filter2,1,497500.00
1,10000,100,filter2,1,501500.00
2,10000,100,filter2,1,455600.00
3,10000,100,filter2,1,445600.00
4,10000,100,filter2,1,445400.00
0,10000,100,filter2,2,473900.00
1,10000,100,filter2,2,448000.00
2,10000,100,filter2,2,446900.00
3,10000,100,filter2,2,468900.00
4,10000,100,filter2,2,461700.00
0,10000,100,filter2,4,474300.00
