trial,nrows,nbins,filter,sketch_size,time (ns)
2,10000,10,filter2,4,1000500.00
3,10000,10,filter2,4,957800.00
4,10000,10,filter2,4,963400.00
0,10000,10,filter2,8,1713200.00
1,10000,10,filter2,8,1738400.00
2,10000,10,filter2,8,1860400.00
3,10000,10,filter2,8,1917400.00
4,10000,10,filter2,8,1723000.00
0,10000,10,filter3,1,346600.00
1,10000,10,filter3,1,329200.00
2,10000,10,filter3,1,336000.00
3,10000,10,filter3,1,321600.00
4,10000,10,filter3,1,346100.00
0,10000,10,filter3,2,419700.00
1,10000,10,filter3,2,425800.00
2,10000,10,filter3,2,398600.00
3,10000,10,filter3,2,396700.00
4,10000,10,filter3,2,398800.00
0,10000,10,filter3,4,590200.00
1,10000,10,filter3,4,564600.00
2,10000,10,filter3,4,560400.00
3,10000,10,filter3,4,591800.00
4,10000,10,filter3,4,622700.00
0,10000,10,filter3,8,860700.00
1,10000,10,filter3,8,858400.00
2,10000,10,filter3,8,889800.00
3,10000,10,filter3,8,1398200.00
4,10000,10,filter3,8,1067600.00
0,10000,100,filter1,1,370900.00
1,10000,100,filter1,1,376500.00
2,10000,100,filter1,1,349500.00
3,10000,100,filter1,1,381100.00
4,10000,100,filter1,1,365000.00
0,10000,100,filter1,2,565100.00
1,10000,100,filter1,2,629100.00
2,10000,100,filter1,2,520600.00
3,10000,100,filter1,2,520200.00
4,10000,100,filter1,2,521100.00
0,10000,100,filter1,4,859600.00
1,10000,100,filter1,4,856000.00
2,10000,100,filter1,4,913200.00
3,10000,100,filter1,4,889800.00
4,10000,100,filter1,4,1003600.00
0,10000,100,filter1,8,1561300.00
1,10000,100,filter1,8,1473800.00
2,10000,100,filter1,8,1538500.00
3,10000,100,filter1,8,1481500.00
4,10000,100,filter1,8,1457100.00
0,10000,100,filter2,1,333500.00
1,10000,100,filter2,1,330100.00
2,10000,100,filter2,1,329600.00
3,10000,100,filter2,1,367700.00
4,10000,100,filter2,1,327600.00
0,10000,100,filter2,2,503400.00
